Run,a2_berm,a2_t,a2_$,a3_piles,a3_t,a3_$,a4_piers,a4_t,a4_$,a5_girders,a5_t,a5_$,total_t,ppl_$,mobilize_$,total_$,total_$_norm,total_t_norm,reward
21,2,46,692576,0,9,59544,0,144,1943424,1,40,568960,326,230960,32183,3527647.1,0.500,0.223,0.723
22,2,46,692576,1,20,397760,0,144,1943424,0,51,898416,336,261200,45834,4239210.48,0.341,0.175,0.516
23,0,64,1243136,0,9,59544,2,127,2894584,1,40,568960,318,254720,34128,5055072.45,0.159,0.262,0.421
24,1,68,903040,0,9,59544,0,144,1943424,1,40,568960,329,230960,32183,3738111.1,0.453,0.209,0.662
25,2,46,692576,0,9,59544,1,126,2742768,0,51,898416,328,250400,39009,4682712.79,0.242,0.214,0.456
26,2,46,692576,0,9,59544,1,126,2742768,1,40,568960,315,241760,32183,4337791.1,0.319,0.277,0.596
27,1,68,903040,1,20,397760,0,144,1943424,1,40,568960,324,252560,39009,4104752.79,0.371,0.233,0.604
28,1,68,903040,0,9,59544,2,127,2894584,0,51,898416,320,252560,40954,5049098.14,0.160,0.252,0.413
29,0,64,1243136,1,20,397760,2,127,2894584,0,51,898416,312,284960,47780,5766635.83,0.000,0.291,0.291
30,1,68,903040,1,20,397760,1,126,2742768,0,51,898416,333,272000,45834,5259818.48,0.113,0.189,0.303
31,1,68,903040,1,20,397760,1,126,2742768,1,40,568960,315,263360,39009,4914896.79,0.190,0.277,0.467
32,0,64,1243136,2,11,72776,2,127,2894584,1,40,568960,305,254720,34128,5068304.45,0.156,0.325,0.481
33,0,64,1243136,2,11,72776,2,127,2894584,1,40,568960,321,254720,34128,5068304.45,0.156,0.248,0.404
34,0,64,1243136,0,9,59544,2,127,2894584,1,40,568960,306,254720,34128,5055072.45,0.159,0.320,0.479
35,1,68,903040,1,20,397760,2,127,2894584,0,51,898416,315,274160,47780,5415739.83,0.078,0.277,0.355
36,1,68,903040,0,9,59544,1,126,2742768,1,40,568960,315,241760,32183,4548255.1,0.272,0.277,0.549
37,0,64,1243136,0,9,59544,0,72,1943424,0,101,889608,321,342120,32183,4510015.1,0.281,0.248,0.528
38,2,46,692576,0,9,59544,1,126,2742768,0,51,898416,313,250400,39009,4682712.79,0.242,0.286,0.528
39,1,68,903040,2,11,72776,2,127,2894584,0,51,898416,331,252560,40954,5062330.14,0.157,0.199,0.356
40,0,64,1243136,1,39,387816,1,126,2742768,0,51,898416,330,263360,37063,5572559.44,0.043,0.204,0.247
41,2,46,692576,0,9,59544,1,126,2742768,1,40,568960,292,241760,32183,4337791.1,0.319,0.388,0.707
42,2,46,692576,1,20,397760,0,144,1943424,1,40,568960,327,252560,39009,3894288.79,0.418,0.218,0.637
43,1,68,903040,1,39,387816,0,144,1943424,0,51,898416,347,241760,37063,4411519.44,0.303,0.121,0.424
44,0,64,1243136,1,20,397760,0,144,1943424,1,40,568960,322,263360,39009,4455648.79,0.293,0.243,0.535
45,0,64,1243136,0,9,59544,1,126,2742768,1,40,568960,323,252560,32183,4899151.1,0.194,0.238,0.432
46,2,46,692576,0,9,59544,1,126,2742768,0,101,889608,368,228800,32183,4645479.1,0.250,0.019,0.270
47,1,68,903040,0,9,59544,2,127,2894584,0,51,898416,324,252560,40954,5049098.14,0.160,0.233,0.393
48,1,68,903040,0,9,59544,2,127,2894584,1,40,568960,304,243920,34128,4704176.45,0.237,0.330,0.567
49,0,64,1243136,2,11,72776,1,126,2742768,1,40,568960,313,252560,32183,4912383.1,0.191,0.286,0.477
50,1,68,903040,2,11,72776,1,126,2742768,0,51,898416,322,250400,39009,4906408.79,0.192,0.243,0.435
51,1,68,903040,1,20,397760,1,126,2742768,0,51,898416,320,272000,45834,5259818.48,0.113,0.252,0.366
52,0,64,1243136,2,11,72776,1,126,2742768,0,101,889608,372,239600,32183,5220071.1,0.122,0.000,0.122
53,1,68,903040,2,11,72776,0,144,1943424,0,51,898416,340,239600,39009,4096264.79,0.373,0.155,0.528
54,1,68,903040,1,20,397760,0,144,1943424,0,51,898416,331,261200,45834,4449674.48,0.294,0.199,0.493
55,1,68,903040,0,9,59544,1,126,2742768,1,40,568960,302,241760,32183,4548255.1,0.272,0.340,0.612
56,2,46,692576,2,11,72776,2,127,2894584,1,40,568960,329,243920,34128,4506944.45,0.281,0.209,0.490
57,0,64,1243136,0,9,59544,0,144,1943424,0,51,898416,335,250400,39009,4433928.79,0.298,0.180,0.477
58,0,64,1243136,2,11,72776,2,127,2894584,0,51,898416,323,263360,40954,5413226.14,0.079,0.238,0.317
59,2,46,692576,0,9,59544,1,126,2742768,1,40,568960,309,241760,32183,4337791.1,0.319,0.306,0.625
60,2,46,692576,0,9,59544,2,127,2894584,1,40,568960,322,243920,34128,4493712.45,0.284,0.243,0.527
61,1,68,903040,2,11,72776,0,144,1943424,0,51,898416,334,239600,39009,4096264.79,0.373,0.184,0.557
62,0,64,1243136,2,11,72776,1,126,2742768,1,40,568960,313,252560,32183,4912383.1,0.191,0.286,0.477
63,1,68,903040,0,9,59544,2,127,2894584,1,40,568960,311,243920,34128,4704176.45,0.237,0.296,0.533
64,1,68,903040,2,11,72776,2,127,2894584,1,40,568960,318,243920,34128,4717408.45,0.234,0.262,0.496
65,2,46,692576,1,20,397760,2,127,2894584,1,40,568960,313,265520,40954,4860354.14,0.202,0.286,0.489
66,1,68,903040,1,39,387816,2,127,2894584,1,40,568960,329,246080,32183,5032663.1,0.164,0.209,0.373
67,2,46,692576,1,20,397760,1,126,2742768,1,40,568960,305,263360,39009,4704432.79,0.237,0.325,0.562
68,0,64,1243136,1,20,397760,1,126,2742768,0,51,898416,319,282800,45834,5610714.48,0.035,0.257,0.292
69,2,46,692576,2,11,72776,2,127,2894584,1,40,568960,314,243920,34128,4506944.45,0.281,0.282,0.563
70,0,64,1243136,1,39,387816,2,127,2894584,1,40,568960,315,256880,32183,5383559.1,0.086,0.277,0.362
71,1,68,903040,2,11,72776,0,144,1943424,1,40,568960,328,230960,32183,3751343.1,0.450,0.214,0.664
72,2,46,692576,1,13,387816,1,126,2742768,1,40,568960,300,282800,39009,4713928.79,0.235,0.350,0.585
73,0,64,1243136,2,11,72776,1,126,2742768,0,51,898416,329,261200,39009,5257304.79,0.114,0.209,0.322
74,0,64,1243136,1,20,397760,0,72,1943424,1,40,568960,272,376680,39009,4568968.79,0.267,0.485,0.753
75,2,46,692576,0,9,59544,1,126,2742768,1,40,568960,326,241760,32183,4337791.1,0.319,0.223,0.542
